State,Time,Device,Unit
22.5,2024-09-13 20:58:01,TEMP_sensor,C
22.5,2024-09-13 20:58:26,TEMP_sensor,C
22.6,2024-09-13 20:58:51,TEMP_sensor,C
22.6,2024-09-13 20:59:16,TEMP_sensor,C
22.6,2024-09-13 20:59:41,TEMP_sensor,C
22.6,2024-09-13 21:00:06,TEMP_sensor,C
22.6,2024-09-13 21:00:31,TEMP_sensor,C
22.6,2024-09-13 21:00:56,TEMP_sensor,C
22.6,2024-09-13 21:01:21,TEMP_sensor,C
22.6,2024-09-13 21:01:46,TEMP_sensor,C
22.6,2024-09-13 21:02:11,TEMP_sensor,C
22.6,2024-09-13 21:02:36,TEMP_sensor,C
22.5,2024-09-13 21:03:01,TEMP_sensor,C
22.5,2024-09-13 21:03:26,TEMP_sensor,C
22.5,2024-09-13 21:03:51,TEMP_sensor,C
22.5,2024-09-13 21:04:16,TEMP_sensor,C
22.4,2024-09-13 21:04:41,TEMP_sensor,C
22.4,2024-09-13 21:05:06,TEMP_sensor,C
22.3,2024-09-13 21:05:31,TEMP_sensor,C
22.3,2024-09-13 21:05:56,TEMP_sensor,C
22.2,2024-09-13 21:06:21,TEMP_sensor,C
22.2,2024-09-13 21:06:46,TEMP_sensor,C
22.2,2024-09-13 21:07:11,TEMP_sensor,C
22.2,2024-09-13 21:07:36,TEMP_sensor,C
22.1,2024-09-13 21:08:01,TEMP_sensor,C
22.1,2024-09-13 21:08:26,TEMP_sensor,C
22.1,2024-09-13 21:08:51,TEMP_sensor,C
22.1,2024-09-13 21:09:16,TEMP_sensor,C
22.0,2024-09-13 21:09:41,TEMP_sensor,C
22.0,2024-09-13 21:10:06,TEMP_sensor,C
22.0,2024-09-13 21:10:31,TEMP_sensor,C
22.0,2024-09-13 21:10:56,TEMP_sensor,C
22.0,2024-09-13 21:11:21,TEMP_sensor,C
22.0,2024-09-13 21:11:46,TEMP_sensor,C
21.9,2024-09-13 21:12:11,TEMP_sensor,C
21.9,2024-09-13 21:12:36,TEMP_sensor,C
21.9,2024-09-13 21:13:01,TEMP_sensor,C
21.9,2024-09-13 21:13:26,TEMP_sensor,C
21.9,2024-09-13 21:13:51,TEMP_sensor,C
21.9,2024-09-13 21:14:16,TEMP_sensor,C
21.9,2024-09-13 21:14:41,TEMP_sensor,C
21.9,2024-09-13 21:15:06,TEMP_sensor,C
21.9,2024-09-13 21:15:31,TEMP_sensor,C
21.9,2024-09-13 21:15:56,TEMP_sensor,C
21.9,2024-09-13 21:16:21,TEMP_sensor,C
21.9,2024-09-13 21:16:46,TEMP_sensor,C
21.8,2024-09-13 21:17:11,TEMP_sensor,C
21.8,2024-09-13 21:17:36,TEMP_sensor,C
21.8,2024-09-13 21:18:01,TEMP_sensor,C
21.8,2024-09-13 21:18:26,TEMP_sensor,C
21.7,2024-09-13 21:18:51,TEMP_sensor,C
21.7,2024-09-13 21:19:16,TEMP_sensor,C
21.7,2024-09-13 21:19:41,TEMP_sensor,C
21.7,2024-09-13 21:20:06,TEMP_sensor,C
21.7,2024-09-13 21:20:31,TEMP_sensor,C
21.7,2024-09-13 21:20:56,TEMP_sensor,C
21.7,2024-09-13 21:21:21,TEMP_sensor,C
21.7,2024-09-13 21:21:46,TEMP_sensor,C
21.7,2024-09-13 21:22:11,TEMP_sensor,C
21.7,2024-09-13 21:22:36,TEMP_sensor,C
21.7,2024-09-13 21:23:01,TEMP_sensor,C
21.7,2024-09-13 21:23:26,TEMP_sensor,C
21.7,2024-09-13 21:23:51,TEMP_sensor,C
21.7,2024-09-13 21:24:16,TEMP_sensor,C
21.6,2024-09-13 21:24:41,TEMP_sensor,C
21.6,2024-09-13 21:25:06,TEMP_sensor,C
21.6,2024-09-13 21:25:31,TEMP_sensor,C
21.6,2024-09-13 21:25:56,TEMP_sensor,C
21.5,2024-09-13 21:26:21,TEMP_sensor,C
21.5,2024-09-13 21:26:46,TEMP_sensor,C
21.5,2024-09-13 21:27:11,TEMP_sensor,C
21.5,2024-09-13 21:27:36,TEMP_sensor,C
21.5,2024-09-13 21:28:01,TEMP_sensor,C
21.5,2024-09-13 21:28:26,TEMP_sensor,C
21.5,2024-09-13 21:28:51,TEMP_sensor,C
21.5,2024-09-13 21:29:16,TEMP_sensor,C
21.5,2024-09-13 21:29:41,TEMP_sensor,C
21.5,2024-09-13 21:30:06,TEMP_sensor,C
21.5,2024-09-13 21:30:31,TEMP_sensor,C
21.5,2024-09-13 21:30:56,TEMP_sensor,C
21.4,2024-09-13 21:31:21,TEMP_sensor,C
21.4,2024-09-13 21:31:46,TEMP_sensor,C
21.4,2024-09-13 21:32:11,TEMP_sensor,C
21.4,2024-09-13 21:32:36,TEMP_sensor,C
21.4,2024-09-13 21:33:01,TEMP_sensor,C
21.4,2024-09-13 21:33:26,TEMP_sensor,C
21.4,2024-09-13 21:33:51,TEMP_sensor,C
21.4,2024-09-13 21:34:16,TEMP_sensor,C
21.3,2024-09-13 21:34:41,TEMP_sensor,C
21.3,2024-09-13 21:35:06,TEMP_sensor,C
21.3,2024-09-13 21:35:31,TEMP_sensor,C
21.3,2024-09-13 21:35:56,TEMP_sensor,C
21.3,2024-09-13 21:36:21,TEMP_sensor,C
21.3,2024-09-13 21:36:46,TEMP_sensor,C
21.3,2024-09-13 21:37:11,TEMP_sensor,C
21.3,2024-09-13 21:37:36,TEMP_sensor,C
21.3,2024-09-13 21:38:01,TEMP_sensor,C
21.3,2024-09-13 21:38:26,TEMP_sensor,C
21.3,2024-09-13 21:38:51,TEMP_sensor,C
21.3,2024-09-13 21:39:16,TEMP_sensor,C
21.2,2024-09-13 21:39:41,TEMP_sensor,C
21.2,2024-09-13 21:40:06,TEMP_sensor,C
21.2,2024-09-13 21:40:31,TEMP_sensor,C
21.2,2024-09-13 21:40:56,TEMP_sensor,C
21.2,2024-09-13 21:41:21,TEMP_sensor,C
21.2,2024-09-13 21:41:46,TEMP_sensor,C
21.2,2024-09-13 21:42:11,TEMP_sensor,C
21.2,2024-09-13 21:42:36,TEMP_sensor,C
21.2,2024-09-13 21:43:01,TEMP_sensor,C
21.2,2024-09-13 21:43:26,TEMP_sensor,C
21.2,2024-09-13 21:43:51,TEMP_sensor,C
21.2,2024-09-13 21:44:16,TEMP_sensor,C
21.2,2024-09-13 21:44:41,TEMP_sensor,C
21.2,2024-09-13 21:45:06,TEMP_sensor,C
21.1,2024-09-13 21:45:31,TEMP_sensor,C
21.1,2024-09-13 21:45:56,TEMP_sensor,C
21.1,2024-09-13 21:46:21,TEMP_sensor,C
21.1,2024-09-13 21:46:46,TEMP_sensor,C
21.1,2024-09-13 21:47:11,TEMP_sensor,C
21.1,2024-09-13 21:47:36,TEMP_sensor,C
21.0,2024-09-13 21:48:01,TEMP_sensor,C
21.0,2024-09-13 21:48:26,TEMP_sensor,C
21.0,2024-09-13 21:48:51,TEMP_sensor,C
21.0,2024-09-13 21:49:16,TEMP_sensor,C
20.9,2024-09-13 21:49:41,TEMP_sensor,C
20.9,2024-09-13 21:50:06,TEMP_sensor,C
20.9,2024-09-13 21:50:31,TEMP_sensor,C
20.9,2024-09-13 21:50:56,TEMP_sensor,C
20.9,2024-09-13 21:51:21,TEMP_sensor,C
20.9,2024-09-13 21:51:46,TEMP_sensor,C
20.9,2024-09-13 21:52:11,TEMP_sensor,C
20.9,2024-09-13 21:52:36,TEMP_sensor,C
20.8,2024-09-13 21:53:01,TEMP_sensor,C
20.8,2024-09-13 21:53:26,TEMP_sensor,C
20.8,2024-09-13 21:53:51,TEMP_sensor,C
20.8,2024-09-13 21:54:16,TEMP_sensor,C
20.8,2024-09-13 21:54:41,TEMP_sensor,C
20.8,2024-09-13 21:55:06,TEMP_sensor,C
20.8,2024-09-13 21:55:31,TEMP_sensor,C
20.8,2024-09-13 21:55:56,TEMP_sensor,C
20.8,2024-09-13 21:56:21,TEMP_sensor,C
20.8,2024-09-13 21:56:46,TEMP_sensor,C
20.8,2024-09-13 21:57:11,TEMP_sensor,C
20.8,2024-09-13 21:57:36,TEMP_sensor,C
20.8,2024-09-13 21:58:01,TEMP_sensor,C
20.8,2024-09-13 21:58:26,TEMP_sensor,C
20.8,2024-09-13 21:58:51,TEMP_sensor,C
20.8,2024-09-13 21:59:16,TEMP_sensor,C
20.8,2024-09-13 21:59:41,TEMP_sensor,C
20.8,2024-09-13 22:00:06,TEMP_sensor,C
20.8,2024-09-13 22:00:31,TEMP_sensor,C
20.8,2024-09-13 22:00:56,TEMP_sensor,C
20.8,2024-09-13 22:01:21,TEMP_sensor,C
20.8,2024-09-13 22:01:46,TEMP_sensor,C
20.8,2024-09-13 22:02:11,TEMP_sensor,C
20.8,2024-09-13 22:02:36,TEMP_sensor,C
20.9,2024-09-13 22:03:01,TEMP_sensor,C
20.9,2024-09-13 22:03:26,TEMP_sensor,C
20.9,2024-09-13 22:03:51,TEMP_sensor,C
20.9,2024-09-13 22:04:16,TEMP_sensor,C
20.9,2024-09-13 22:04:41,TEMP_sensor,C
20.9,2024-09-13 22:05:06,TEMP_sensor,C
20.9,2024-09-13 22:05:31,TEMP_sensor,C
20.9,2024-09-13 22:05:56,TEMP_sensor,C
20.9,2024-09-13 22:06:21,TEMP_sensor,C
20.9,2024-09-13 22:06:46,TEMP_sensor,C
21.0,2024-09-13 22:07:11,TEMP_sensor,C
21.0,2024-09-13 22:07:36,TEMP_sensor,C
21.0,2024-09-13 22:08:01,TEMP_sensor,C
21.0,2024-09-13 22:08:26,TEMP_sensor,C
21.0,2024-09-13 22:08:51,TEMP_sensor,C
21.0,2024-09-13 22:09:16,TEMP_sensor,C
