State,Time,Device,Unit
55,2024-09-12T10:33:06.430Z,SSHUM_sensor,%
55,2024-09-12T10:33:31.480Z,SSHUM_sensor,%
55,2024-09-12T10:33:56.435Z,SSHUM_sensor,%
55,2024-09-12T10:34:21.485Z,SSHUM_sensor,%
55,2024-09-12T10:34:46.484Z,SSHUM_sensor,%
56,2024-09-12T10:35:11.493Z,SSHUM_sensor,%
56,2024-09-12T10:35:54.985Z,SSHUM_sensor,%
56,2024-09-12T10:36:19.982Z,SSHUM_sensor,%
56,2024-09-12T10:36:44.993Z,SSHUM_sensor,%
57,2024-09-12T10:37:10.045Z,SSHUM_sensor,%
56,2024-09-12T10:39:15.235Z,SSHUM_sensor,%
56,2024-09-12T10:39:40.225Z,SSHUM_sensor,%
55,2024-09-12T10:40:05.227Z,SSHUM_sensor,%
55,2024-09-12T10:40:30.225Z,SSHUM_sensor,%
55,2024-09-12T10:40:55.226Z,SSHUM_sensor,%
55,2024-09-12T10:41:20.229Z,SSHUM_sensor,%
55,2024-09-12T10:41:45.230Z,SSHUM_sensor,%
55,2024-09-12T10:42:10.236Z,SSHUM_sensor,%
55,2024-09-12T10:42:35.231Z,SSHUM_sensor,%
55,2024-09-12T10:43:00.231Z,SSHUM_sensor,%
56,2024-09-12T10:43:25.260Z,SSHUM_sensor,%
56,2024-09-12T10:44:30.982Z,SSHUM_sensor,%
55,2024-09-12T10:45:13.194Z,SSHUM_sensor,%
54,2024-09-12T10:45:38.187Z,SSHUM_sensor,%
55,2024-09-12T10:46:03.257Z,SSHUM_sensor,%
55,2024-09-12T10:46:28.260Z,SSHUM_sensor,%
54,2024-09-12T10:46:53.262Z,SSHUM_sensor,%
54,2024-09-12T10:47:18.263Z,SSHUM_sensor,%
54,2024-09-12T10:47:43.262Z,SSHUM_sensor,%
54,2024-09-12T10:48:08.263Z,SSHUM_sensor,%
53,2024-09-12T10:48:33.263Z,SSHUM_sensor,%
53,2024-09-12T10:48:58.263Z,SSHUM_sensor,%
53,2024-09-12T10:49:23.263Z,SSHUM_sensor,%
53,2024-09-12T10:49:48.263Z,SSHUM_sensor,%
52,2024-09-12T10:50:13.279Z,SSHUM_sensor,%
52,2024-09-12T10:50:38.279Z,SSHUM_sensor,%
52,2024-09-12T10:51:03.279Z,SSHUM_sensor,%
53,2024-09-12T10:51:28.279Z,SSHUM_sensor,%
53,2024-09-12T10:51:53.279Z,SSHUM_sensor,%
53,2024-09-12T10:52:18.280Z,SSHUM_sensor,%
52,2024-09-12T10:52:43.281Z,SSHUM_sensor,%
52,2024-09-12T10:53:08.281Z,SSHUM_sensor,%
52,2024-09-12T10:53:33.281Z,SSHUM_sensor,%
52,2024-09-12T10:53:58.281Z,SSHUM_sensor,%
52,2024-09-12T10:54:23.281Z,SSHUM_sensor,%
52,2024-09-12T10:54:48.281Z,SSHUM_sensor,%
53,2024-09-12T10:55:13.281Z,SSHUM_sensor,%
52,2024-09-12T10:55:38.281Z,SSHUM_sensor,%
52,2024-09-12T10:56:03.281Z,SSHUM_sensor,%
53,2024-09-12T10:56:28.281Z,SSHUM_sensor,%
53,2024-09-12T10:56:53.282Z,SSHUM_sensor,%
52,2024-09-12T10:57:18.282Z,SSHUM_sensor,%
52,2024-09-12T10:57:43.282Z,SSHUM_sensor,%
51,2024-09-12T10:58:08.282Z,SSHUM_sensor,%
52,2024-09-12T10:58:33.282Z,SSHUM_sensor,%
52,2024-09-12T10:58:58.282Z,SSHUM_sensor,%
53,2024-09-12T10:59:23.282Z,SSHUM_sensor,%
53,2024-09-12T10:59:48.283Z,SSHUM_sensor,%
53,2024-09-12T11:00:13.283Z,SSHUM_sensor,%
53,2024-09-12T11:00:38.283Z,SSHUM_sensor,%
52,2024-09-12T11:01:03.283Z,SSHUM_sensor,%
52,2024-09-12T11:01:28.283Z,SSHUM_sensor,%
53,2024-09-12T11:01:53.284Z,SSHUM_sensor,%
52,2024-09-12T11:02:18.284Z,SSHUM_sensor,%
52,2024-09-12T11:02:43.284Z,SSHUM_sensor,%
51,2024-09-12T11:03:08.284Z,SSHUM_sensor,%
51,2024-09-12T11:03:33.284Z,SSHUM_sensor,%
51,2024-09-12T11:03:58.284Z,SSHUM_sensor,%
52,2024-09-12T11:04:23.284Z,SSHUM_sensor,%
50,2024-09-12T11:04:48.287Z,SSHUM_sensor,%
51,2024-09-12T11:05:13.285Z,SSHUM_sensor,%
51,2024-09-12T11:05:38.285Z,SSHUM_sensor,%
51,2024-09-12T11:06:03.285Z,SSHUM_sensor,%
50,2024-09-12T11:06:28.285Z,SSHUM_sensor,%
51,2024-09-12T11:06:53.285Z,SSHUM_sensor,%
51,2024-09-12T11:07:18.285Z,SSHUM_sensor,%
51,2024-09-12T11:07:43.286Z,SSHUM_sensor,%
51,2024-09-12T11:08:08.285Z,SSHUM_sensor,%
51,2024-09-12T11:08:33.285Z,SSHUM_sensor,%
52,2024-09-12T11:08:58.285Z,SSHUM_sensor,%
50,2024-09-12T11:09:23.285Z,SSHUM_sensor,%
50,2024-09-12T11:09:48.285Z,SSHUM_sensor,%
50,2024-09-12T11:10:13.294Z,SSHUM_sensor,%
50,2024-09-12T11:10:38.293Z,SSHUM_sensor,%
50,2024-09-12T11:11:03.298Z,SSHUM_sensor,%
49,2024-09-12T11:11:28.296Z,SSHUM_sensor,%
50,2024-09-12T11:11:53.296Z,SSHUM_sensor,%
