State,Time,Device,Unit
20.7,2024-09-12 13:02:43,SSTEMP_sensor,C
22.0,2024-09-12 13:03:08,SSTEMP_sensor,C
25.0,2024-09-12 13:03:33,SSTEMP_sensor,C
25.0,2024-09-12 13:03:58,SSTEMP_sensor,C
23.0,2024-09-12 13:04:23,SSTEMP_sensor,C
23.0,2024-09-12 13:04:48,SSTEMP_sensor,C
24.0,2024-09-12 13:05:13,SSTEMP_sensor,C
24.0,2024-09-12 13:05:38,SSTEMP_sensor,C
26.0,2024-09-12 13:06:03,SSTEMP_sensor,C
28.0,2024-09-12 13:06:28,SSTEMP_sensor,C
28.0,2024-09-12 13:06:53,SSTEMP_sensor,C
26.0,2024-09-12 13:07:18,SSTEMP_sensor,C
26.0,2024-09-12 13:07:43,SSTEMP_sensor,C
29.0,2024-09-12 13:08:08,SSTEMP_sensor,C
35.0,2024-09-12 13:08:33,SSTEMP_sensor,C
35.0,2024-09-12 13:08:58,SSTEMP_sensor,C
25.0,2024-09-12 13:09:23,SSTEMP_sensor,C
25.0,2024-09-12 13:09:48,SSTEMP_sensor,C
24.0,2024-09-12 13:10:13,SSTEMP_sensor,C
24.0,2024-09-12 13:10:38,SSTEMP_sensor,C
24.0,2024-09-12 13:11:03,SSTEMP_sensor,C
26.0,2024-09-12 13:11:28,SSTEMP_sensor,C
27.0,2024-09-12 13:11:53,SSTEMP_sensor,C
24.0,2024-09-12 13:12:18,SSTEMP_sensor,C
26.0,2024-09-12 13:12:43,SSTEMP_sensor,C
25.0,2024-09-12 13:13:08,SSTEMP_sensor,C
24.0,2024-09-12 13:13:33,SSTEMP_sensor,C
23.0,2024-09-12 13:13:58,SSTEMP_sensor,C
22.0,2024-09-12 13:14:23,SSTEMP_sensor,C
25.0,2024-09-12 13:14:48,SSTEMP_sensor,C
21.0,2024-09-12 13:15:13,SSTEMP_sensor,C
