State,Time,Device,Unit
54.6,2024-09-14 08:20:41,SSHUM_sensor,C
54.6,2024-09-14 08:21:06,SSHUM_sensor,C
54.6,2024-09-14 08:21:31,SSHUM_sensor,C
54.6,2024-09-14 08:21:56,SSHUM_sensor,C
54.6,2024-09-14 08:22:21,SSHUM_sensor,C
54.6,2024-09-14 08:22:46,SSHUM_sensor,C
54.6,2024-09-14 08:23:11,SSHUM_sensor,C
54.6,2024-09-14 08:23:36,SSHUM_sensor,C
54.6,2024-09-14 08:24:01,SSHUM_sensor,C
54.6,2024-09-14 08:24:26,SSHUM_sensor,C
54.6,2024-09-14 08:24:51,SSHUM_sensor,C
54.6,2024-09-14 08:25:16,SSHUM_sensor,C
54.6,2024-09-14 08:25:41,SSHUM_sensor,C
54.6,2024-09-14 08:26:06,SSHUM_sensor,C
54.6,2024-09-14 08:26:31,SSHUM_sensor,C
54.6,2024-09-14 08:26:56,SSHUM_sensor,C
54.6,2024-09-14 08:27:21,SSHUM_sensor,C
54.6,2024-09-14 08:27:46,SSHUM_sensor,C
54.5,2024-09-14 08:28:11,SSHUM_sensor,C
54.5,2024-09-14 08:28:36,SSHUM_sensor,C
54.6,2024-09-14 08:29:01,SSHUM_sensor,C
54.6,2024-09-14 08:29:26,SSHUM_sensor,C
54.5,2024-09-14 08:29:51,SSHUM_sensor,C
54.5,2024-09-14 08:30:16,SSHUM_sensor,C
54.5,2024-09-14 08:30:41,SSHUM_sensor,C
54.5,2024-09-14 08:31:06,SSHUM_sensor,C
54.5,2024-09-14 08:31:31,SSHUM_sensor,C
54.5,2024-09-14 08:31:56,SSHUM_sensor,C
54.4,2024-09-14 08:32:21,SSHUM_sensor,C
54.4,2024-09-14 08:32:46,SSHUM_sensor,C
54.4,2024-09-14 08:33:11,SSHUM_sensor,C
54.4,2024-09-14 08:33:36,SSHUM_sensor,C
54.4,2024-09-14 08:34:01,SSHUM_sensor,C
54.4,2024-09-14 08:34:26,SSHUM_sensor,C
54.4,2024-09-14 08:34:51,SSHUM_sensor,C
54.4,2024-09-14 08:35:16,SSHUM_sensor,C
54.4,2024-09-14 08:35:41,SSHUM_sensor,C
54.4,2024-09-14 08:36:06,SSHUM_sensor,C
54.3,2024-09-14 08:36:31,SSHUM_sensor,C
54.3,2024-09-14 08:36:56,SSHUM_sensor,C
54.3,2024-09-14 08:37:21,SSHUM_sensor,C
54.3,2024-09-14 08:37:46,SSHUM_sensor,C
54.4,2024-09-14 08:38:11,SSHUM_sensor,C
54.4,2024-09-14 08:38:36,SSHUM_sensor,C
54.3,2024-09-14 08:39:01,SSHUM_sensor,C
54.3,2024-09-14 08:39:26,SSHUM_sensor,C
54.3,2024-09-14 08:39:51,SSHUM_sensor,C
54.3,2024-09-14 08:40:16,SSHUM_sensor,C
54.4,2024-09-14 08:40:41,SSHUM_sensor,C
54.4,2024-09-14 08:41:06,SSHUM_sensor,C
54.3,2024-09-14 08:41:31,SSHUM_sensor,C
54.3,2024-09-14 08:41:56,SSHUM_sensor,C
54.3,2024-09-14 08:42:21,SSHUM_sensor,C
54.3,2024-09-14 08:42:46,SSHUM_sensor,C
54.3,2024-09-14 08:43:11,SSHUM_sensor,C
54.3,2024-09-14 08:43:36,SSHUM_sensor,C
54.3,2024-09-14 08:44:01,SSHUM_sensor,C
54.3,2024-09-14 08:44:26,SSHUM_sensor,C
54.3,2024-09-14 08:44:51,SSHUM_sensor,C
54.3,2024-09-14 08:45:16,SSHUM_sensor,C
54.2,2024-09-14 08:45:41,SSHUM_sensor,C
54.2,2024-09-14 08:46:06,SSHUM_sensor,C
54.2,2024-09-14 08:46:31,SSHUM_sensor,C
54.2,2024-09-14 08:46:56,SSHUM_sensor,C
54.2,2024-09-14 08:47:21,SSHUM_sensor,C
54.2,2024-09-14 08:47:46,SSHUM_sensor,C
54.2,2024-09-14 08:48:11,SSHUM_sensor,C
54.2,2024-09-14 08:48:36,SSHUM_sensor,C
54.2,2024-09-14 08:49:01,SSHUM_sensor,C
54.2,2024-09-14 08:49:26,SSHUM_sensor,C
54.1,2024-09-14 08:49:51,SSHUM_sensor,C
54.1,2024-09-14 08:50:16,SSHUM_sensor,C
54.1,2024-09-14 08:50:41,SSHUM_sensor,C
54.1,2024-09-14 08:51:06,SSHUM_sensor,C
54.1,2024-09-14 08:51:31,SSHUM_sensor,C
54.1,2024-09-14 08:51:56,SSHUM_sensor,C
54.1,2024-09-14 08:52:21,SSHUM_sensor,C
54.1,2024-09-14 08:52:46,SSHUM_sensor,C
54.1,2024-09-14 08:53:11,SSHUM_sensor,C
54.1,2024-09-14 08:53:36,SSHUM_sensor,C
54.0,2024-09-14 08:54:01,SSHUM_sensor,C
54.0,2024-09-14 08:54:26,SSHUM_sensor,C
54.0,2024-09-14 08:54:51,SSHUM_sensor,C
54.0,2024-09-14 08:55:16,SSHUM_sensor,C
54.0,2024-09-14 08:55:41,SSHUM_sensor,C
54.0,2024-09-14 08:56:06,SSHUM_sensor,C
54.0,2024-09-14 08:56:31,SSHUM_sensor,C
54.0,2024-09-14 08:56:56,SSHUM_sensor,C
54.0,2024-09-14 08:57:21,SSHUM_sensor,C
54.0,2024-09-14 08:57:46,SSHUM_sensor,C
54.0,2024-09-14 08:58:11,SSHUM_sensor,C
54.0,2024-09-14 08:58:36,SSHUM_sensor,C
54.0,2024-09-14 08:59:01,SSHUM_sensor,C
54.0,2024-09-14 08:59:26,SSHUM_sensor,C
53.9,2024-09-14 08:59:51,SSHUM_sensor,C
53.9,2024-09-14 09:00:16,SSHUM_sensor,C
53.9,2024-09-14 09:00:41,SSHUM_sensor,C
53.9,2024-09-14 09:01:06,SSHUM_sensor,C
53.9,2024-09-14 09:01:31,SSHUM_sensor,C
53.9,2024-09-14 09:01:56,SSHUM_sensor,C
53.9,2024-09-14 09:02:21,SSHUM_sensor,C
53.9,2024-09-14 09:02:46,SSHUM_sensor,C
53.9,2024-09-14 09:03:11,SSHUM_sensor,C
53.9,2024-09-14 09:03:36,SSHUM_sensor,C
53.9,2024-09-14 09:04:01,SSHUM_sensor,C
53.9,2024-09-14 09:04:26,SSHUM_sensor,C
53.9,2024-09-14 09:04:51,SSHUM_sensor,C
53.9,2024-09-14 09:05:16,SSHUM_sensor,C
53.8,2024-09-14 09:05:41,SSHUM_sensor,C
53.8,2024-09-14 09:06:06,SSHUM_sensor,C
53.8,2024-09-14 09:06:31,SSHUM_sensor,C
53.8,2024-09-14 09:06:56,SSHUM_sensor,C
53.8,2024-09-14 09:07:21,SSHUM_sensor,C
53.8,2024-09-14 09:07:46,SSHUM_sensor,C
53.7,2024-09-14 09:08:11,SSHUM_sensor,C
53.7,2024-09-14 09:08:36,SSHUM_sensor,C
53.7,2024-09-14 09:09:01,SSHUM_sensor,C
53.7,2024-09-14 09:09:26,SSHUM_sensor,C
53.7,2024-09-14 09:09:51,SSHUM_sensor,C
53.7,2024-09-14 09:10:16,SSHUM_sensor,C
53.7,2024-09-14 09:10:41,SSHUM_sensor,C
53.7,2024-09-14 09:11:06,SSHUM_sensor,C
53.6,2024-09-14 09:11:31,SSHUM_sensor,C
53.6,2024-09-14 09:11:56,SSHUM_sensor,C
53.6,2024-09-14 09:12:21,SSHUM_sensor,C
53.6,2024-09-14 09:12:46,SSHUM_sensor,C
53.6,2024-09-14 09:13:11,SSHUM_sensor,C
53.6,2024-09-14 09:13:36,SSHUM_sensor,C
