State,Time,Device,Unit
13.0,2024-09-12 01:04:03,SSTEMP_sensor,C
12.9,2024-09-12 01:04:28,SSTEMP_sensor,C
12.9,2024-09-12 01:04:53,SSTEMP_sensor,C
12.9,2024-09-12 01:05:18,SSTEMP_sensor,C
12.8,2024-09-12 01:05:43,SSTEMP_sensor,C
12.9,2024-09-12 01:06:08,SSTEMP_sensor,C
12.8,2024-09-12 01:06:33,SSTEMP_sensor,C
12.8,2024-09-12 01:06:58,SSTEMP_sensor,C
12.8,2024-09-12 01:07:23,SSTEMP_sensor,C
12.7,2024-09-12 01:10:21,SSTEMP_sensor,C
12.7,2024-09-12 01:10:46,SSTEMP_sensor,C
12.7,2024-09-12 01:11:11,SSTEMP_sensor,C
12.7,2024-09-12 01:11:36,SSTEMP_sensor,C
12.7,2024-09-12 01:12:01,SSTEMP_sensor,C
12.7,2024-09-12 01:12:26,SSTEMP_sensor,C
12.7,2024-09-12 01:13:45,SSTEMP_sensor,C
12.7,2024-09-12 01:14:10,SSTEMP_sensor,C
12.7,2024-09-12 01:14:35,SSTEMP_sensor,C
12.7,2024-09-12 01:15:00,SSTEMP_sensor,C
12.6,2024-09-12 01:15:25,SSTEMP_sensor,C
12.7,2024-09-12 01:15:50,SSTEMP_sensor,C
12.7,2024-09-12 01:16:19,SSTEMP_sensor,C
12.6,2024-09-12 01:16:44,SSTEMP_sensor,C
12.6,2024-09-12 01:17:09,SSTEMP_sensor,C
12.6,2024-09-12 01:17:34,SSTEMP_sensor,C
12.6,2024-09-12 01:17:59,SSTEMP_sensor,C
12.6,2024-09-12 01:18:24,SSTEMP_sensor,C
12.6,2024-09-12 01:18:49,SSTEMP_sensor,C
12.6,2024-09-12 01:19:14,SSTEMP_sensor,C
12.6,2024-09-12 01:19:39,SSTEMP_sensor,C
12.6,2024-09-12 01:20:04,SSTEMP_sensor,C
12.5,2024-09-12 01:20:29,SSTEMP_sensor,C
12.5,2024-09-12 01:20:54,SSTEMP_sensor,C
12.6,2024-09-12 01:21:19,SSTEMP_sensor,C
12.6,2024-09-12 01:21:44,SSTEMP_sensor,C
12.5,2024-09-12 01:22:09,SSTEMP_sensor,C
12.5,2024-09-12 01:22:34,SSTEMP_sensor,C
12.5,2024-09-12 01:22:59,SSTEMP_sensor,C
12.5,2024-09-12 01:23:24,SSTEMP_sensor,C
12.5,2024-09-12 01:23:49,SSTEMP_sensor,C
12.5,2024-09-12 01:24:14,SSTEMP_sensor,C
12.5,2024-09-12 01:24:39,SSTEMP_sensor,C
12.5,2024-09-12 01:25:04,SSTEMP_sensor,C
12.5,2024-09-12 01:25:29,SSTEMP_sensor,C
12.5,2024-09-12 01:25:54,SSTEMP_sensor,C
12.4,2024-09-12 01:26:19,SSTEMP_sensor,C
12.4,2024-09-12 01:26:44,SSTEMP_sensor,C
12.4,2024-09-12 01:27:09,SSTEMP_sensor,C
12.4,2024-09-12 01:27:34,SSTEMP_sensor,C
12.4,2024-09-12 01:27:59,SSTEMP_sensor,C
12.5,2024-09-12 01:28:24,SSTEMP_sensor,C
12.4,2024-09-12 01:28:49,SSTEMP_sensor,C
12.4,2024-09-12 01:29:14,SSTEMP_sensor,C
12.4,2024-09-12 01:29:39,SSTEMP_sensor,C
12.4,2024-09-12 01:33:24,SSTEMP_sensor,C
12.4,2024-09-12 01:33:49,SSTEMP_sensor,C
12.4,2024-09-12 01:34:14,SSTEMP_sensor,C
12.4,2024-09-12 01:34:39,SSTEMP_sensor,C
12.4,2024-09-12 01:35:04,SSTEMP_sensor,C
12.4,2024-09-12 01:35:29,SSTEMP_sensor,C
12.3,2024-09-12 01:35:54,SSTEMP_sensor,C
12.4,2024-09-12 01:36:19,SSTEMP_sensor,C
12.3,2024-09-12 01:36:44,SSTEMP_sensor,C
12.3,2024-09-12 01:37:09,SSTEMP_sensor,C
12.3,2024-09-12 01:37:34,SSTEMP_sensor,C
12.3,2024-09-12 01:37:59,SSTEMP_sensor,C
12.3,2024-09-12 01:38:24,SSTEMP_sensor,C
12.3,2024-09-12 01:38:49,SSTEMP_sensor,C
12.4,2024-09-12 01:39:14,SSTEMP_sensor,C
12.3,2024-09-12 01:39:39,SSTEMP_sensor,C
12.4,2024-09-12 01:40:04,SSTEMP_sensor,C
12.4,2024-09-12 01:40:29,SSTEMP_sensor,C
12.4,2024-09-12 01:40:54,SSTEMP_sensor,C
12.4,2024-09-12 01:41:19,SSTEMP_sensor,C
12.4,2024-09-12 01:41:44,SSTEMP_sensor,C
12.4,2024-09-12 01:42:09,SSTEMP_sensor,C
12.4,2024-09-12 01:42:34,SSTEMP_sensor,C
12.4,2024-09-12 01:42:59,SSTEMP_sensor,C
12.3,2024-09-12 01:43:24,SSTEMP_sensor,C
12.3,2024-09-12 01:43:49,SSTEMP_sensor,C
12.3,2024-09-12 01:44:14,SSTEMP_sensor,C
12.4,2024-09-12 01:44:39,SSTEMP_sensor,C
12.3,2024-09-12 01:45:04,SSTEMP_sensor,C
12.3,2024-09-12 01:45:29,SSTEMP_sensor,C
12.3,2024-09-12 01:45:54,SSTEMP_sensor,C
12.3,2024-09-12 01:46:19,SSTEMP_sensor,C
12.3,2024-09-12 01:46:44,SSTEMP_sensor,C
12.3,2024-09-12 01:47:09,SSTEMP_sensor,C
12.3,2024-09-12 01:47:34,SSTEMP_sensor,C
12.4,2024-09-12 01:47:59,SSTEMP_sensor,C
12.3,2024-09-12 01:48:24,SSTEMP_sensor,C
12.3,2024-09-12 01:48:49,SSTEMP_sensor,C
12.3,2024-09-12 01:49:14,SSTEMP_sensor,C
12.3,2024-09-12 01:49:39,SSTEMP_sensor,C
12.3,2024-09-12 01:50:04,SSTEMP_sensor,C
12.3,2024-09-12 01:50:29,SSTEMP_sensor,C
12.3,2024-09-12 01:50:54,SSTEMP_sensor,C
12.3,2024-09-12 01:51:19,SSTEMP_sensor,C
12.3,2024-09-12 01:51:44,SSTEMP_sensor,C
12.3,2024-09-12 01:52:09,SSTEMP_sensor,C
12.3,2024-09-12 01:52:34,SSTEMP_sensor,C
12.3,2024-09-12 01:52:59,SSTEMP_sensor,C
12.3,2024-09-12 01:53:24,SSTEMP_sensor,C
12.3,2024-09-12 01:53:49,SSTEMP_sensor,C
12.2,2024-09-12 01:54:14,SSTEMP_sensor,C
12.2,2024-09-12 01:54:39,SSTEMP_sensor,C
12.3,2024-09-12 01:55:04,SSTEMP_sensor,C
12.3,2024-09-12 01:55:29,SSTEMP_sensor,C
12.3,2024-09-12 01:55:54,SSTEMP_sensor,C
12.3,2024-09-12 01:56:19,SSTEMP_sensor,C
12.2,2024-09-12 01:56:44,SSTEMP_sensor,C
12.2,2024-09-12 01:57:09,SSTEMP_sensor,C
12.2,2024-09-12 01:57:34,SSTEMP_sensor,C
12.3,2024-09-12 01:57:59,SSTEMP_sensor,C
12.2,2024-09-12 01:58:24,SSTEMP_sensor,C
12.2,2024-09-12 01:58:49,SSTEMP_sensor,C
12.2,2024-09-12 01:59:14,SSTEMP_sensor,C
12.2,2024-09-12 01:59:39,SSTEMP_sensor,C
12.2,2024-09-12 02:00:04,SSTEMP_sensor,C
12.2,2024-09-12 02:00:29,SSTEMP_sensor,C
12.3,2024-09-12 02:00:54,SSTEMP_sensor,C
12.3,2024-09-12 02:01:19,SSTEMP_sensor,C
12.3,2024-09-12 02:01:44,SSTEMP_sensor,C
12.3,2024-09-12 02:02:09,SSTEMP_sensor,C
12.3,2024-09-12 02:02:34,SSTEMP_sensor,C
12.3,2024-09-12 02:02:59,SSTEMP_sensor,C
12.4,2024-09-12 02:03:24,SSTEMP_sensor,C
12.3,2024-09-12 02:03:49,SSTEMP_sensor,C
12.4,2024-09-12 02:04:14,SSTEMP_sensor,C
12.3,2024-09-12 02:04:39,SSTEMP_sensor,C
12.4,2024-09-12 02:05:04,SSTEMP_sensor,C
12.4,2024-09-12 02:05:29,SSTEMP_sensor,C
12.4,2024-09-12 02:05:54,SSTEMP_sensor,C
12.4,2024-09-12 02:06:19,SSTEMP_sensor,C
12.4,2024-09-12 02:06:44,SSTEMP_sensor,C
12.4,2024-09-12 02:07:09,SSTEMP_sensor,C
12.4,2024-09-12 02:07:34,SSTEMP_sensor,C
12.4,2024-09-12 02:07:59,SSTEMP_sensor,C
12.4,2024-09-12 02:08:24,SSTEMP_sensor,C
12.4,2024-09-12 02:08:49,SSTEMP_sensor,C
12.4,2024-09-12 02:09:14,SSTEMP_sensor,C
12.4,2024-09-12 02:09:39,SSTEMP_sensor,C
12.4,2024-09-12 02:10:04,SSTEMP_sensor,C
12.4,2024-09-12 02:10:29,SSTEMP_sensor,C
12.5,2024-09-12 02:10:54,SSTEMP_sensor,C
12.5,2024-09-12 02:11:19,SSTEMP_sensor,C
12.5,2024-09-12 02:11:44,SSTEMP_sensor,C
12.5,2024-09-12 02:12:09,SSTEMP_sensor,C
12.5,2024-09-12 02:12:34,SSTEMP_sensor,C
12.5,2024-09-12 02:12:59,SSTEMP_sensor,C
12.5,2024-09-12 02:13:24,SSTEMP_sensor,C
12.5,2024-09-12 02:13:49,SSTEMP_sensor,C
12.5,2024-09-12 02:14:14,SSTEMP_sensor,C
12.5,2024-09-12 02:14:39,SSTEMP_sensor,C
12.6,2024-09-12 02:15:04,SSTEMP_sensor,C
12.6,2024-09-12 02:15:29,SSTEMP_sensor,C
12.6,2024-09-12 02:15:54,SSTEMP_sensor,C
12.6,2024-09-12 02:16:46,SSTEMP_sensor,C
12.6,2024-09-12 02:17:11,SSTEMP_sensor,C
12.6,2024-09-12 02:17:36,SSTEMP_sensor,C
12.6,2024-09-12 02:18:01,SSTEMP_sensor,C
12.7,2024-09-12 02:18:26,SSTEMP_sensor,C
12.6,2024-09-12 02:18:51,SSTEMP_sensor,C
12.7,2024-09-12 02:19:16,SSTEMP_sensor,C
12.6,2024-09-12 02:19:41,SSTEMP_sensor,C
12.6,2024-09-12 02:20:06,SSTEMP_sensor,C
12.6,2024-09-12 02:20:31,SSTEMP_sensor,C
12.6,2024-09-12 02:20:56,SSTEMP_sensor,C
12.6,2024-09-12 02:21:21,SSTEMP_sensor,C
12.6,2024-09-12 02:21:46,SSTEMP_sensor,C
12.7,2024-09-12 02:22:11,SSTEMP_sensor,C
12.7,2024-09-12 02:22:36,SSTEMP_sensor,C
12.7,2024-09-12 02:23:01,SSTEMP_sensor,C
12.7,2024-09-12 02:23:26,SSTEMP_sensor,C
12.7,2024-09-12 02:23:51,SSTEMP_sensor,C
12.7,2024-09-12 02:24:16,SSTEMP_sensor,C
12.7,2024-09-12 02:24:41,SSTEMP_sensor,C
12.7,2024-09-12 02:25:06,SSTEMP_sensor,C
12.7,2024-09-12 02:25:31,SSTEMP_sensor,C
12.7,2024-09-12 02:25:56,SSTEMP_sensor,C
12.7,2024-09-12 02:26:21,SSTEMP_sensor,C
12.7,2024-09-12 02:26:46,SSTEMP_sensor,C
12.7,2024-09-12 02:27:11,SSTEMP_sensor,C
12.7,2024-09-12 02:27:36,SSTEMP_sensor,C
12.7,2024-09-12 02:28:01,SSTEMP_sensor,C
12.6,2024-09-12 02:28:26,SSTEMP_sensor,C
12.7,2024-09-12 02:28:51,SSTEMP_sensor,C
12.6,2024-09-12 02:29:16,SSTEMP_sensor,C
12.7,2024-09-12 02:29:41,SSTEMP_sensor,C
12.6,2024-09-12 02:30:06,SSTEMP_sensor,C
12.6,2024-09-12 02:30:31,SSTEMP_sensor,C
12.7,2024-09-12 02:30:56,SSTEMP_sensor,C
12.6,2024-09-12 02:31:21,SSTEMP_sensor,C
12.6,2024-09-12 02:31:46,SSTEMP_sensor,C
12.6,2024-09-12 02:32:11,SSTEMP_sensor,C
12.6,2024-09-12 02:32:36,SSTEMP_sensor,C
12.6,2024-09-12 02:33:01,SSTEMP_sensor,C
12.6,2024-09-12 02:33:26,SSTEMP_sensor,C
12.6,2024-09-12 02:33:51,SSTEMP_sensor,C
12.6,2024-09-12 02:34:16,SSTEMP_sensor,C
12.6,2024-09-12 02:34:41,SSTEMP_sensor,C
12.6,2024-09-12 02:35:06,SSTEMP_sensor,C
12.7,2024-09-12 02:35:31,SSTEMP_sensor,C
12.7,2024-09-12 02:35:56,SSTEMP_sensor,C
12.6,2024-09-12 02:36:21,SSTEMP_sensor,C
12.7,2024-09-12 02:36:46,SSTEMP_sensor,C
12.7,2024-09-12 02:37:11,SSTEMP_sensor,C
12.7,2024-09-12 02:37:36,SSTEMP_sensor,C
12.7,2024-09-12 02:38:01,SSTEMP_sensor,C
12.7,2024-09-12 02:38:26,SSTEMP_sensor,C
12.6,2024-09-12 02:38:51,SSTEMP_sensor,C
12.7,2024-09-12 02:39:16,SSTEMP_sensor,C
12.7,2024-09-12 02:39:41,SSTEMP_sensor,C
12.7,2024-09-12 02:40:06,SSTEMP_sensor,C
12.6,2024-09-12 02:40:31,SSTEMP_sensor,C
12.7,2024-09-12 02:40:56,SSTEMP_sensor,C
12.7,2024-09-12 02:41:21,SSTEMP_sensor,C
12.7,2024-09-12 02:41:46,SSTEMP_sensor,C
12.7,2024-09-12 02:42:11,SSTEMP_sensor,C
12.7,2024-09-12 02:42:36,SSTEMP_sensor,C
12.8,2024-09-12 02:43:01,SSTEMP_sensor,C
12.8,2024-09-12 02:43:26,SSTEMP_sensor,C
12.8,2024-09-12 02:43:51,SSTEMP_sensor,C
12.8,2024-09-12 02:44:16,SSTEMP_sensor,C
12.8,2024-09-12 02:44:41,SSTEMP_sensor,C
12.8,2024-09-12 02:45:06,SSTEMP_sensor,C
12.8,2024-09-12 02:45:31,SSTEMP_sensor,C
12.8,2024-09-12 02:45:56,SSTEMP_sensor,C
12.8,2024-09-12 02:46:21,SSTEMP_sensor,C
12.8,2024-09-12 02:46:46,SSTEMP_sensor,C
12.9,2024-09-12 02:47:11,SSTEMP_sensor,C
12.8,2024-09-12 02:47:36,SSTEMP_sensor,C
12.8,2024-09-12 02:48:01,SSTEMP_sensor,C
12.9,2024-09-12 02:48:26,SSTEMP_sensor,C
12.8,2024-09-12 02:48:51,SSTEMP_sensor,C
12.9,2024-09-12 02:49:16,SSTEMP_sensor,C
12.9,2024-09-12 02:49:41,SSTEMP_sensor,C
12.9,2024-09-12 02:50:06,SSTEMP_sensor,C
12.8,2024-09-12 02:50:31,SSTEMP_sensor,C
12.9,2024-09-12 02:50:56,SSTEMP_sensor,C
12.9,2024-09-12 02:51:21,SSTEMP_sensor,C
12.9,2024-09-12 02:51:46,SSTEMP_sensor,C
12.9,2024-09-12 02:52:11,SSTEMP_sensor,C
12.9,2024-09-12 02:52:36,SSTEMP_sensor,C
12.9,2024-09-12 02:53:01,SSTEMP_sensor,C
12.9,2024-09-12 02:53:26,SSTEMP_sensor,C
12.9,2024-09-12 02:53:51,SSTEMP_sensor,C
12.9,2024-09-12 02:54:16,SSTEMP_sensor,C
12.8,2024-09-12 02:54:41,SSTEMP_sensor,C
12.9,2024-09-12 02:55:06,SSTEMP_sensor,C
12.9,2024-09-12 02:55:31,SSTEMP_sensor,C
12.8,2024-09-12 02:55:56,SSTEMP_sensor,C
12.8,2024-09-12 02:56:21,SSTEMP_sensor,C
12.8,2024-09-12 02:56:46,SSTEMP_sensor,C
12.8,2024-09-12 02:57:11,SSTEMP_sensor,C
12.8,2024-09-12 02:57:36,SSTEMP_sensor,C
12.8,2024-09-12 02:58:01,SSTEMP_sensor,C
12.8,2024-09-12 02:58:26,SSTEMP_sensor,C
12.8,2024-09-12 02:58:51,SSTEMP_sensor,C
12.8,2024-09-12 02:59:16,SSTEMP_sensor,C
12.8,2024-09-12 02:59:41,SSTEMP_sensor,C
12.8,2024-09-12 03:00:06,SSTEMP_sensor,C
12.8,2024-09-12 03:00:31,SSTEMP_sensor,C
12.8,2024-09-12 03:00:56,SSTEMP_sensor,C
12.8,2024-09-12 03:01:21,SSTEMP_sensor,C
12.8,2024-09-12 03:01:46,SSTEMP_sensor,C
12.8,2024-09-12 03:02:11,SSTEMP_sensor,C
12.8,2024-09-12 03:02:36,SSTEMP_sensor,C
12.8,2024-09-12 03:03:01,SSTEMP_sensor,C
12.8,2024-09-12 03:03:26,SSTEMP_sensor,C
12.8,2024-09-12 03:03:51,SSTEMP_sensor,C
12.8,2024-09-12 03:04:16,SSTEMP_sensor,C
12.8,2024-09-12 03:04:41,SSTEMP_sensor,C
12.8,2024-09-12 03:05:06,SSTEMP_sensor,C
12.8,2024-09-12 03:05:31,SSTEMP_sensor,C
12.8,2024-09-12 03:05:56,SSTEMP_sensor,C
12.7,2024-09-12 03:06:21,SSTEMP_sensor,C
