State,Time,Device,Unit
16.0,2024-10-09 00:04:49,SSTEMP_sensor,C
15.9,2024-10-09 00:05:14,SSTEMP_sensor,C
15.9,2024-10-09 00:05:39,SSTEMP_sensor,C
15.9,2024-10-09 00:06:04,SSTEMP_sensor,C
15.9,2024-10-09 00:06:29,SSTEMP_sensor,C
15.9,2024-10-09 00:06:54,SSTEMP_sensor,C
15.9,2024-10-09 00:07:19,SSTEMP_sensor,C
15.8,2024-10-09 00:07:44,SSTEMP_sensor,C
15.8,2024-10-09 00:08:09,SSTEMP_sensor,C
15.8,2024-10-09 00:08:34,SSTEMP_sensor,C
15.8,2024-10-09 00:08:59,SSTEMP_sensor,C
15.8,2024-10-09 00:09:24,SSTEMP_sensor,C
15.8,2024-10-09 00:09:49,SSTEMP_sensor,C
15.7,2024-10-09 00:10:14,SSTEMP_sensor,C
15.7,2024-10-09 00:10:39,SSTEMP_sensor,C
15.7,2024-10-09 00:11:04,SSTEMP_sensor,C
15.7,2024-10-09 00:11:29,SSTEMP_sensor,C
15.6,2024-10-09 00:11:54,SSTEMP_sensor,C
15.6,2024-10-09 00:12:19,SSTEMP_sensor,C
